HGNC_Symbol,log2R_CNA,Z_Score
PMM2P1,3,-0.0117
GLUD1P2,2,-0.0116
H2BC19P,2,-0.0114
AC006478.1,NA,-0.0117
AC006478.2,NA,-0.0117
CD300LB,2,-0.0117
CD300LD,2,-0.0117
CD300LF,2,-0.0117
CD300LG,2,-0.0117
MCL1,2,0.1604
SRSF10P1,2,-0.0117
AC108097.1,3,-0.0117
GLUD1P3,2,-0.0101
GLUD1P4,2,-0.0117
GLUD1P9,2,-0.0117
OSCP1,4,-0.0052
RPL36AP55,2,-0.0117
MCM7,4,-0.0005
AC082650.1,2,-0.0117
AC082650.2,NA,-0.0117
MCM8,2,-0.0112
COL14A1,2,0.0211
MCM9,2,-0.0094
AC025370.1,2,-0.0117
AC025370.2,2,-0.0108
AC026355.1,4,-0.0117
AC026355.2,4,-0.0115
AC026355.3,4,-0.0116
AC026355.4,4,-0.0116
SRIP1,2,-0.0117
H2BC16P,2,-0.0112
SRIP2,3,-0.0117
SRIP3,NA,-0.0117
AC027088.1,2,-0.0117
CEP170B,4,0.0027
AC027088.2,2,-0.0117
AC025766.1,2,-0.0111
AC027088.3,2,-0.0117
AC073875.1,4,-0.0117
AC027088.4,5,-0.0117
AC027088.5,5,-0.0117
CLEC12A-AS1,2,-0.0117
GGPS1,2,-0.0043
DIS3,4,0.0104
AC004079.2,3,-0.0117
AC004079.3,4,-0.0117
AC004079.4,4,-0.0117
AC004079.5,4,-0.0117
AC004079.1,3,-0.0117
AC009712.1,5,-0.0117
MCM3,4,0.0056
ST20-MTHFS,2,-0.0117
MCM4,4,-0.0020
AL589763.1,4,-0.0117
MCM5,6,-0.0074
MCM6,4,0.0029
AC096763.1,NA,-0.0117
MCM2,4,-0.0059
RPL36AP35,2,-0.0117
RPL36AP36,2,-0.0115
RPL36AP33,2,-0.0108
RPL36AP39,2,-0.0117
AC080011.1,2,-0.0117
AP002906.1,4,-0.0111
BUB3P1,3,-0.0117
AC090398.1,2,-0.0117
AC090398.2,NA,-0.0117
AC007317.1,2,-0.0117
IL21R,2,-0.0106
AC007317.2,NA,-0.0115
RPL36AP43,2,-0.0109
RPL36AP40,2,-0.0117
RPL36AP41,3,-0.0108
ITGA9-AS1,4,-0.0115
RPL36AP45,5,-0.0117
PEX12P1,2,-0.0117
AC084368.1,4,-0.0081
AL391117.1,2,-0.0117
RPL36AP48,2,-0.0115
MAB21L3,4,-0.0114
AL162391.1,NA,-0.0117
MAB21L4,4,-0.0117
AL162391.2,2,-0.0117
AC092793.1,2,-0.0117
GPC3-AS1,2,-0.0117
MAB21L1,4,-0.0099
LIFR-AS1,2,-0.0115
MAB21L2,2,-0.0117
AP003485.1,2,-0.0117
AP003485.2,2,-0.0117
RPL36AP53,3,-0.0117
RPL36AP54,2,-0.0113
RPL36AP51,3,-0.0116
OR7E66P,4,-0.0117
RPL36AP52,3,-0.0115
IL1RN,4,-0.0116
IL23R,2,-0.0117
OSBPL9P5,2,-0.0117
CALR4P,2,-0.0117
OSBPL9P1,2,-0.0117
AC124862.1,4,-0.0114
OSBPL9P2,2,-0.0117
OSBPL9P3,2,-0.0116
OSBPL9P4,3,-0.0117
WDR5B-DT,2,-0.0103
SCAANT1,4,-0.0100
IL1R1,4,0.0988
AC078923.1,5,-0.0112
IL1R2,2,-0.0114
MIR133A1HG,2,-0.0115
AF201337.1,4,-0.0090
ARHGAP29-AS1,4,-0.0117
IL23A,2,-0.0103
NDUFS5P1,2,-0.0117
NDUFS5P2,4,-0.0117
OR3B1P,2,-0.0117
NDUFS5P3,2,-0.0117
AC018634.1,4,-0.0117
NDUFS5P4,3,-0.0117
AC005011.1,4,-0.0117
NDUFS5P5,2,-0.0117
NDUFS5P6,4,-0.0117
AC082651.1,2,-0.0116
SH2D2A,4,-0.0115
AC082651.2,4,-0.0117
AC082651.3,4,-0.0117
OR2AI1P,2,-0.0117
OTUD4P1,2,-0.0115
MT1JP,3,-0.0117
AC082651.4,2,-0.0117
OR7E59P,4,-0.0116
AC011676.1,2,-0.0116
AC011676.2,2,-0.0116
AC011676.3,4,-0.0116
AC011676.4,2,-0.0117
AC011676.5,2,-0.0116
