"HGNC_Symbol","Cluster"
"AC036111.3",1
"MCEE",1
"FGD5-AS1",1
"AL024498.1",1
"AC036111.1",1
"RRP12",3
"RNU6-662P",1
"AL024508.1",1
"RN7SL571P",1
"RRP15",3
"ZIK1",3
"CT45A10",3
"MIR4659A",1
"MIR4659B",1
"AL135908.1",2
"ECRG4",3
"RNU6-661P",1
"MOCS1",1
"RN7SL570P",1
"TRBV12-1",2
"AP001086.1",1
"TRBV12-2",2
"TRBV12-3",2
"TRBV12-4",2
"TRBV12-5",2
"RASSF10",3
"RRP36",3
"AC104506.1",1
"PAIP2",3
"RNU6-664P",1
"ZIM2",3
"ZIM3",3
"PAIP1",3
"AC010359.1",1
"ARHGEF9-IT1",1
"MCF2",3
"AC010359.2",1
"MOCOS",1
"AC010359.3",1
"AC104350.1",2
"RRP1B",3
"AP002990.1",1
"HERC2P10",2
"HERC2P11",2
"AC069240.1",1
"AL161719.1",1
"RNASEH2CP1",2
"RBMS1P1",1
"RNU6-663P",1
"DNM3OS",1
"MT1DP",1
"AP001922.3",1
"AP001922.4",1
"AP001922.5",1
"AP001922.6",1
"TMEM252-DT",1
"AP001922.1",1
"AP001922.2",1
"UICLM",1
"AC007161.1",1
"AC007161.2",1
"AC007161.3",1
"DIO1",3
"DIO2",3
"DIO3",3
"FAM91A1",3
"AP007216.1",1
"AP007216.2",1
"AC092803.2",1
"AC092803.3",1
"AC092803.4",1
"MT1CP",1
"AC007557.1",1
"TBCAP1",1
"TBCAP2",1
"AC007557.2",1
"TBCAP3",1
"AC007557.3",1
"AC007557.4",1
"AC067969.1",1
"AC067969.2",1
"AC092803.1",1
"PMM2P2",1
"AF241728.1",1
"AF241728.2",1
"RNU6-660P",1
"OR7E62P",1
"AC005741.1",1
"GLUD1P2",1
"PMM2P1",1
"H2BC19P",1
"AC006478.1",1
"AC006478.2",1
"CD300LB",3
"CD300LD",3
"CD300LF",3
"CD300LG",3
"MCL1",3
"SRSF10P1",1
"GLUD1P3",1
"AC108097.1",1
"GLUD1P4",1
"GLUD1P9",2
"OSCP1",1
"RPL36AP55",1
"MCM7",3
"AC082650.1",1
"MCM8",3
"AC082650.2",1
"COL14A1",3
"MCM9",1
"AC025370.1",2
"AC025370.2",2
"AC026355.1",1
"AC026355.2",1
"AC026355.3",1
"AC026355.4",1
"SRIP1",1
"H2BC16P",1
"SRIP2",2
"SRIP3",1
"CEP170B",3
"AC027088.1",1
"AC027088.2",1
"AC025766.1",1
"AC027088.3",1
"AC073875.1",1
"AC027088.4",1
"AC027088.5",1
"CLEC12A-AS1",1
"GGPS1",3
"DIS3",3
"AC004079.2",1
"AC004079.3",1
"AC004079.4",1
"AC004079.5",1
"AC004079.1",1
"AC009712.1",1
"MCM3",3
"ST20-MTHFS",1
"MCM4",3
"AL589763.1",1
"MCM5",3
"MCM6",3
"AC096763.1",1
"MCM2",3
"RPL36AP35",1
"RPL36AP36",1
"RPL36AP33",1
"RPL36AP39",1
"AC080011.1",1
"AP002906.1",2
"BUB3P1",2
"AC090398.1",1
"AC090398.2",1
"AC007317.1",2
"IL21R",3
"AC007317.2",1
"RPL36AP43",1
"RPL36AP40",1
"RPL36AP41",1
"ITGA9-AS1",1
"RPL36AP45",1
"PEX12P1",1
"AC084368.1",2
"AL391117.1",2
"RPL36AP48",1
"AL162391.1",1
"MAB21L3",3
"MAB21L4",3
"AL162391.2",1
"AC092793.1",1
"GPC3-AS1",2
"MAB21L1",2
"MAB21L2",3
"LIFR-AS1",1
"AP003485.1",1
"AP003485.2",1
"RPL36AP53",2
"RPL36AP54",2
"RPL36AP51",1
"RPL36AP52",2
"OR7E66P",2
"IL1RN",3
"IL23R",3
"OSBPL9P5",1
"OSBPL9P1",2
"AC124862.1",1
"CALR4P",1
"OSBPL9P2",1
"OSBPL9P3",1
"WDR5B-DT",1
"OSBPL9P4",1
"SCAANT1",2
"IL1R1",3
"IL1R2",3
"AC078923.1",1
"MIR133A1HG",1
"AF201337.1",2
"ARHGAP29-AS1",1
"IL23A",3
"NDUFS5P1",2
"OR3B1P",2
"NDUFS5P2",1
"NDUFS5P3",1
"NDUFS5P4",1
"AC018634.1",1
"NDUFS5P5",1
"AC005011.1",2
"NDUFS5P6",2
"AC082651.1",2
"AC082651.2",2
"SH2D2A",3
"AC082651.3",2
"OR2AI1P",1
"OTUD4P1",1
"MT1JP",1
"AC082651.4",2
"OR7E59P",1
"AC011676.1",2
"AC011676.2",2
"AC011676.3",2
"AC011676.4",2
"AC011676.5",2
"SH2D1A",3
"SH2D1B",3
"AL451048.1",2
"PSMA1P1",2
"AC025277.1",1
"Z99497.1",1
"Z99497.2",2
"AC100775.1",1
"MT1IP",1
"MRPS31P1",1
"MCUB",3
"MRPS31P4",1
"SIPA1L2",3
"MRPS31P5",1
"SIPA1L3",1
"MRPS31P2",1
"SIPA1L1",3
"SOX5-AS1",1
"H2BC20P",1
"IGHD2-21",1
"COX6CP18",1
"COX6CP16",1
"COX6CP17",1
"COX6CP14",1
"COX6CP15",1
"COX6CP12",2
"COX6CP13",1
"COX6CP10",1
"COX6CP11",1
"AC130651.1",1
"MT1P3",1
"FABP6-AS1",1
"MT1P1",1
"C1QTNF12",3
"AL589669.1",2
"AC242426.1",1
"AC242426.2",1
"RPS3AP9",1
"AMER1",1
"AMER2",3
"AL359636.1",1
"AMER3",3
"AL359636.2",1
"RPS3AP5",1
"RSF1-IT1",1
"RPS3AP6",1
"RSF1-IT2",1
"RPS3AP7",1
"RPS3AP8",1
"RPS3AP1",1
"RPS3AP2",1
"RPS3AP3",1
"RPS3AP4",1
"AGAP2-AS1",1
"AC009951.2",1
"AC009951.3",1
"AL442224.1",1
"AC009951.1",1
"AC009951.6",1
"AC009951.4",1
"AC009951.5",1
"AC022513.1",1
"AC027338.1",1
"AC027338.2",1
"IKBKB-DT",1
"AC007556.1",1
"QPCT",3
"IGHD2-15",1
"SIPA1",3
"SOCS2P2",2
"AL451142.2",1
"AL451142.1",1
"SOCS2P1",1
"AC108681.1",1
"H2AL1MP",1
"C3orf62",1
"AL138740.1",1
"AC095050.1",1
"AC095050.2",1
"IGHVII-33-1",1
"C3orf70",1
"SPECC1L",3
"TIMELESS",3
"IGHV3OR15-7",1
"AL139234.1",1
"SNORA48B",2
"RN7SL569P",2
"C3orf85",1
"C3orf86",1
"CAMSAP1",1
"CAMSAP2",1
"C3orf80",1
"NPC1L1",3
"C3orf84",1
"AMELX",3
"AMELY",2
"RWDD4P1",2
"RWDD4P2",1
"PNPT1",3
"RN7SL568P",1
"CAMSAP3",3
"AC024075.1",1
"AC024075.2",1
"AL671762.1",1
"ZFP91P1",1
"AC024075.3",1
"RN7SL567P",1
"TPBGL-AS1",1
"AC104590.1",1
"C3orf22",1
"AC104986.1",2
"C3orf20",1
"AL117329.2",2
"AL117329.1",2
"RNU6-658P",1
"SNORA41B",1
"C3orf38",2
"RN7SL566P",1
"C3orf33",1
"C3orf36",1
"C1QTNF9B",3
"AL390862.1",1
"RNU6-657P",1
"HNRNPD-DT",1
"MIR1289-1",1
"MIR1289-2",1
"C3orf49",2
"SNORA1B",2
"AC010598.1",1
"AC034205.1",1
"SNORA18",1
"AC034205.2",1
"SNORA19",1
"AC034205.3",1
"RN7SL565P",1
"SNORA15",1
"SNORA12",1
"SNORA13",1
"SNORA10",1
"SNORA11",1
"AC010608.1",1
"AC010608.2",1
"AC010608.3",1
"C3orf52",1
"C3orf56",1
"AC034195.1",1
"RNU6-659P",1
"RN7SL564P",2
"PNPP1",1
"RALGAPA1P1",1
"MDC1",3
"SNORA40",1
"AC009127.1",1
"AC009127.2",1
"AL591004.1",2
"AL157935.1",1
"AL157935.2",1
"AC106870.2",1
"AC106870.3",1
"SNORA3B",1
"MIR4666A",2
"SNORA3C",1
"MIR4666B",1
"SNORA3A",1
"KRTAP3-4P",1
"AC008632.1",1
"IL4I1",3
"AL353997.3",1
"AL353997.4",1
"AL353997.1",1
"SNORA38",1
"AL353997.2",1
"AC110809.1",1
"AC023090.2",1
"RN7SL587P",1
"SNORA37",1
"AL353997.5",1
"TGIF2P1",1
"SNORA35",1
"RNU6-678P",1
"SNORA32",1
"SNORA33",1
"SNORA30",1
"AC023090.1",1
"SNORA31",1
"AC026116.1",1
"SNORA2C",1
"SNORA2A",1
"SNORA2B",1
"AR",3
"SNORA29",1
"SNORA27",1
"SNORA28",1
"AC106870.1",1
"RNU6-677P",1
"SNORA25",1
"SNORA26",1
"RN7SL586P",1
"SNORA23",1
"SNORA24",1
"SNORA21",1
"SNORA22",2
"CGGBP1",3
"SNORA20",1
"GRID2IP",1
"SNORA61",1
"AL353611.2",1
"SNORA62",2
"SNORA60",1
"ACTL7A",3
"ACTL7B",3
"AL353611.1",1
"SNORA5B",1
"C2CD4D-AS1",1
"AL138789.1",1
"SNORA5C",1
"C2",3
"C3",3
"DYNC2LI1",1
"SNORA5A",1
"C5",3
"C6",3
"C7",3
"C9",3
"SNORA58",1
"SNORA56",2
"RN7SL585P",1
"SNORA57",1
"SNORA54",1
"SNORA55",1
"SNORA52",1
"SNORA53",3
"SNORA51",1
"PES1P1",1
"PES1P2",2
"SEMA6A-AS1",1
"SEMA6A-AS2",1
"CP",3
"CS",3
"SNORA49",1
"SNORA47",1
"SNORA48",1
"RNU6-679P",1
"RN7SL584P",1
"SNORA46",1
"AC243591.1",2
"SNORA44",1
"SNORA41",1
"SNORA84",1
"SNORA81",1
"LRSAM1",1
"QPRT",3
"ECSIT",3
"SNORA7B",1
"SNORA7A",1
"AC002519.1",1
"AC002519.2",1
"AC103760.1",2
"SNORA78",1
"SNORA79",1
"RN7SL583P",1
"SNORA77",1
"SNORA74",1
"AC095052.1",1
"SNORA75",1
"RNU6-674P",1
"SNORA72",1
"SNORA73",1
"SNORA70",1
"SNORA71",2
"ACTL6B",3
"ACTL6A",3
"SIRT4",3
"SIRT5",1
"SIRT6",3
"SIRT7",3
"F2",3
"F3",3
"SIRT1",1
"BIVM-ERCC5",1
"SIRT2",3
"SIRT3",1
"F5",3
"F7",3
"F8",3
"F9",3
"TGIF2LX",3
"OR10AK1P",1
"TGIF2LY",2
"SNORA69",1
"SNORA67",1
"SNORA68",1
"SNORA65",1
"RNU6-673P",1
"RN7SL582P",1
"SNORA66",1
"SNORA63",1
"MDFI",3
"SNORA64",1
"FH",3
"ARL14EPL",1
"AC020604.1",1
"AC099654.1",1
"AC099654.2",1
"AC099654.3",1
"AC099654.4",1
"AC099654.5",1
"AC099654.6",1
"AC099654.7",1
"AC099654.8",1
"HLA-DMA",3
"AC099654.9",1
"SNORA9B",1
"HLA-DMB",3
"GC",3
"RN7SL581P",2
"MDH1",3
"GK",1
"MDH2",3
"HNRNPUL2-BSCL2",1
"GGT3P",1
"RNU6-675P",1
"RN7SL580P",2
"EEF1AKMT4-ECE2",1
"RNU6-670P",1
"HP",3
"HR",3
"AL732437.1",1
"AL732437.2",1
"AL732437.3",1
"SRI-AS1",2
"HPGDS",3
"PABPC4L",1
"GGT4P",1
"HLA-DOA",3
"HLA-DOB",3
"IK",3
"AC122719.1",1
"AC122719.2",1
"AC122719.3",1
"VPS33A",1
"FRMD3-AS1",1
"AL365271.1",2
"VPS33B",1
"AP001825.3",1
"AP001825.1",1
"AP001825.2",1
"AC092552.1",1
"AC013248.1",1
"AL132765.1",1
"PIGBOS1",1
"AL132765.2",1
"AL512408.1",1
"AP002893.1",1
"NSMAF",3
"AL080313.1",1
"AC073878.1",2
"AL080313.2",1
"AC073878.2",2
"ECSCR",3
"AC127024.6",1
"AC127024.7",1
"AC127024.4",1
"AC127024.5",1
"AC127024.2",1
"AC127024.3",1
"AC127024.1",1
"RNU6-672P",1
"MDN1",1
"AC127024.8",1
"NOP53-AS1",1
"KL",3
"KY",3
"AC092802.3",1
"AL162400.2",1
"ZC3HC1",3
"SNORA80C",1
"AC092802.4",1
"SNORA80D",1
"AL162400.3",1
"AC100779.1",1
"SNORA80E",1
"AL162400.1",1
"MDM2",3
"HLA-DRA",3
"MDM4",1
"SNORA80A",1
"AC092802.1",1
"MDM1",1
"AC092802.2",1
"SNORA80B",2
"AL731702.1",1
"ZYXP1",2
"SH2D4A",3
"SH2D4B",3
"GGT8P",1
"MIR4662A",2
"WHSC1L2P",1
"MIR4662B",2
"AL354836.1",1
"AC129915.3",1
"MAGOH2P",1
"MB",3
