HGNC_Symbol,log2R_CNA,Z_Score
MIR6126,3,-0.0090
MIR6124,2,-0.0083
SNORA59A,6,-0.0044
SNORA59B,3,-0.0090
RN7SL558P,3,-0.0077
NDFIP2-AS1,2,-0.0090
DHDDS,6,0.0101
AL357084.1,2,-0.0090
AC006238.1,3,-0.0089
RNU6-649P,3,-0.0090
AC006238.2,3,-0.0088
AC104841.1,3,-0.0049
RBMS2P1,3,-0.0089
AL390038.1,4,-0.0090
RN7SL557P,2,-0.0090
HTRA3,3,-0.0067
HTRA4,3,-0.0089
HTRA1,2,0.1895
HTRA2,3,0.0008
RNU7-3P,2,-0.0063
AC008635.1,2,-0.0083
AL391845.1,4,-0.0090
AL391845.2,4,-0.0090
AL392185.1,2,-0.0090
RN7SL556P,2,-0.0061
HULC,5,-0.0089
ZNF350-AS1,2,-0.0089
CHCHD10,5,0.0055
RNU7-2P,3,-0.0090
IGF2R,2,0.0219
AC010451.1,3,-0.0090
AL355916.1,4,-0.0087
AC010451.2,3,-0.0090
AL355916.2,4,-0.0090
AL355916.3,4,-0.0090
OR7M1P,2,-0.0083
AP000842.3,2,-0.0088
AP000842.1,2,-0.0090
AP000842.2,2,-0.0090
AL353759.1,3,-0.0080
AC010451.3,3,-0.0090
AP003973.1,2,-0.0090
AP003973.2,2,-0.0088
AP003973.3,2,-0.0090
AP003973.4,NA,-0.0089
RN7SL555P,4,0.0046
AC100870.1,3,-0.0090
AC119424.1,4,-0.0088
AL136102.1,NA,-0.0090
ZIC2,2,-0.0089
AC034206.1,3,-0.0090
ZIC3,2,-0.0090
ZIC1,5,-0.0085
RNU6-646P,4,-0.0090
MIR6165,4,-0.0065
AC019127.1,3,-0.0090
HUNK,4,-0.0089
IGHV2OR16-5,2,-0.0090
Z99496.1,2,-0.0085
RBM48P1,3,-0.0090
RN7SL554P,5,-0.0035
RNU6-645P,4,-0.0056
MSH2-OT1,3,-0.0088
AC107029.1,5,-0.0090
AC107029.2,5,-0.0089
AL954722.1,NA,-0.0090
RNU6-648P,2,-0.0090
CLVS2,2,-0.0090
AP001180.5,3,-0.0090
RN7SL553P,5,-0.0090
AP001180.3,3,-0.0090
AL512646.1,2,-0.0090
AP001180.4,3,-0.0088
AP001180.1,3,-0.0090
AP001180.2,3,-0.0090
CLVS1,3,-0.0090
MIR6130,4,-0.0090
AL138885.1,5,-0.0089
MIR6131,3,-0.0090
AL138885.2,5,-0.0089
AL138885.3,NA,-0.0086
ZIC4,5,-0.0088
ZIC5,2,-0.0090
AL121785.1,4,-0.0090
RNU6-647P,3,-0.0090
RN7SL552P,3,-0.0085
MIR6134,2,-0.0090
AL034351.3,3,-0.0089
MNX1-AS1,2,-0.0087
MIR6132,2,-0.0090
MIR6133,2,-0.0090
MNX1-AS2,2,-0.0088
AL034351.4,3,-0.0088
RPL36AP13,3,-0.0081
RPL36AP14,3,-0.0090
RPL36AP15,3,-0.0071
RPL36AP16,3,-0.0080
EPS15-AS1,3,-0.0087
BPTFP1,4,-0.0090
SCN11A,4,-0.0090
RNU6-666P,2,-0.0090
RN7SL575P,3,0.0054
AC084128.1,3,-0.0090
RPL36AP21,4,-0.0090
SSTR5-AS1,3,-0.0069
RPL36AP29,2,-0.0087
AC010609.1,3,-0.0090
RPL36AP26,2,-0.0085
HUS1,2,-0.0038
SCN10A,4,-0.0090
RNU6-665P,3,-0.0084
SRFBP1,4,0.0019
AC099511.1,3,-0.0090
RN7SL574P,4,-0.0085
SNORA50A,3,-0.0090
SNORA50B,3,-0.0090
SNORA50C,4,-0.0090
SNORA50D,3,-0.0090
AL133211.1,2,-0.0090
AC111149.1,3,-0.0090
AC111149.2,3,-0.0090
RRP7A,5,0.0084
RNU6-668P,3,-0.0090
RN7SL573P,4,-0.0090
C3orf18,4,-0.0014
AC009093.10,2,-0.0090
AC009093.11,2,-0.0090
MCAM,2,0.0429
AC083875.1,2,-0.0084
C3orf14,4,-0.0077
MCAT,5,0.0003
AC123784.1,NA,-0.0090
AC008873.1,4,-0.0078
ZNF559-ZNF177,3,-0.0088
OR10AH1P,2,-0.0090
RNU6-667P,4,-0.0088
RPL36AP10,3,-0.0089
AL353614.1,2,-0.0090
MOCS2,4,-0.0014
MOCS3,4,-0.0053
AL024498.2,5,-0.0090
AC036111.2,2,-0.0090
AC036111.3,2,-0.0090
MCEE,3,-0.0021
FGD5-AS1,5,0.0356
AL024498.1,5,-0.0085
AC036111.1,2,-0.0090
RRP12,2,-0.0035
RNU6-662P,3,-0.0090
AL024508.1,2,-0.0090
RN7SL571P,2,-0.0089
RRP15,3,-0.0047
ZIK1,2,-0.0065
CT45A10,2,-0.0090
MIR4659A,3,-0.0090
MIR4659B,3,-0.0090
AL135908.1,2,-0.0090
ECRG4,3,-0.0090
MOCS1,4,-0.0015
RNU6-661P,4,-0.0088
RN7SL570P,2,-0.0089
TRBV12-1,2,-0.0090
AP001086.1,3,-0.0087
TRBV12-2,2,-0.0089
TRBV12-3,2,-0.0090
TRBV12-4,2,-0.0090
TRBV12-5,2,-0.0090
RASSF10,2,-0.0089
RRP36,4,0.0271
AC104506.1,4,-0.0089
PAIP2,3,-0.0009
RNU6-664P,3,-0.0090
ZIM2,2,-0.0090
ZIM3,2,-0.0090
PAIP1,3,0.0176
ARHGEF9-IT1,2,-0.0086
AC010359.1,4,-0.0072
MCF2,2,-0.0090
AC010359.2,4,-0.0083
AC010359.3,4,-0.0084
MOCOS,3,-0.0033
AC104350.1,3,-0.0090
RRP1B,3,0.0071
AP002990.1,2,-0.0083
HERC2P10,4,0.0013
AC069240.1,3,-0.0090
HERC2P11,4,-0.0090
AL161719.1,2,-0.0090
RNASEH2CP1,1,-0.0086
RBMS1P1,4,-0.0087
RNU6-663P,3,-0.0090
DNM3OS,3,-0.0083
MT1DP,3,-0.0090
AP001922.3,2,-0.0089
AP001922.4,2,-0.0089
AP001922.5,2,-0.0087
AP001922.6,2,-0.0090
TMEM252-DT,2,-0.0090
AP001922.1,2,-0.0090
AP001922.2,2,-0.0090
UICLM,3,-0.0090
AC007161.1,2,-0.0089
AC007161.2,2,-0.0088
AC007161.3,2,-0.0090
DIO1,3,-0.0080
DIO2,4,-0.0084
DIO3,4,-0.0090
AP007216.1,2,-0.0090
FAM91A1,3,0.0096
AP007216.2,2,-0.0090
AC092803.2,NA,-0.0090
AC092803.3,NA,-0.0089
AC092803.4,3,-0.0090
MT1CP,3,-0.0090
TBCAP1,2,-0.0086
AC007557.1,3,-0.0090
AC007557.2,3,-0.0090
TBCAP2,6,-0.0090
TBCAP3,3,-0.0090
AC007557.3,3,-0.0090
AC007557.4,3,-0.0090
AC067969.1,2,-0.0090
AC067969.2,2,-0.0090
AC092803.1,3,-0.0089
PMM2P2,3,-0.0090
AF241728.1,2,-0.0086
AF241728.2,2,-0.0084
RNU6-660P,3,-0.0090
OR7E62P,3,-0.0090
AC005741.1,4,-0.0090
PMM2P1,3,-0.0090
GLUD1P2,2,-0.0089
H2BC19P,3,-0.0088
AC006478.1,NA,-0.0090
AC006478.2,NA,-0.0090
CD300LB,4,-0.0090
CD300LD,4,-0.0090
CD300LF,4,-0.0090
CD300LG,4,-0.0090
MCL1,3,0.0593
SRSF10P1,3,-0.0088
GLUD1P3,2,-0.0077
AC108097.1,3,-0.0090
GLUD1P4,3,-0.0090
GLUD1P9,2,-0.0090
OSCP1,6,-0.0037
RPL36AP55,2,-0.0090
AC082650.1,3,-0.0090
MCM7,2,0.0047
AC082650.2,NA,-0.0090
COL14A1,3,0.0016
MCM8,4,-0.0067
AC025370.1,3,-0.0090
MCM9,2,-0.0072
AC025370.2,3,-0.0077
AC026355.1,5,-0.0088
AC026355.2,5,-0.0088
AC026355.3,5,-0.0089
AC026355.4,5,-0.0089
SRIP1,3,-0.0090
H2BC16P,4,-0.0089
SRIP2,2,-0.0090
SRIP3,1,-0.0090
AC027088.1,4,-0.0090
CEP170B,4,0.0066
AC027088.2,4,-0.0090
AC025766.1,4,-0.0080
AC027088.3,4,-0.0090
AC073875.1,3,-0.0090
AC027088.4,4,-0.0090
AC027088.5,4,-0.0090
CLEC12A-AS1,3,-0.0090
GGPS1,3,-0.0052
DIS3,2,0.0005
AC004079.2,2,-0.0090
AC004079.3,2,-0.0090
AC004079.4,2,-0.0090
AC004079.5,2,-0.0090
AC004079.1,2,-0.0090
AC009712.1,4,-0.0090
MCM3,3,0.0285
ST20-MTHFS,4,-0.0090
MCM4,3,0.0102
AL589763.1,3,-0.0090
MCM5,3,0.0048
MCM6,3,0.0137
AC096763.1,NA,-0.0090
MCM2,5,0.0136
RPL36AP35,2,-0.0090
RPL36AP36,2,-0.0090
RPL36AP33,2,-0.0077
RPL36AP39,2,-0.0090
AC080011.1,4,-0.0090
AP002906.1,3,-0.0087
BUB3P1,2,-0.0090
AC090398.1,3,-0.0090
AC090398.2,NA,-0.0090
AC007317.1,3,-0.0090
IL21R,2,-0.0087
AC007317.2,NA,-0.0089
RPL36AP43,4,-0.0074
RPL36AP40,2,-0.0089
RPL36AP41,4,-0.0087
ITGA9-AS1,4,-0.0088
RPL36AP45,4,-0.0090
PEX12P1,2,-0.0090
AC084368.1,2,-0.0090
AL391117.1,2,-0.0088
RPL36AP48,4,-0.0085
MAB21L3,3,-0.0089
AL162391.1,NA,-0.0090
AL162391.2,2,-0.0090
MAB21L4,3,-0.0090
AC092793.1,4,-0.0090
GPC3-AS1,2,-0.0090
MAB21L1,2,-0.0087
LIFR-AS1,3,-0.0090
MAB21L2,3,-0.0089
AP003485.1,2,-0.0090
AP003485.2,2,-0.0090
RPL36AP53,2,-0.0090
RPL36AP54,2,-0.0081
RPL36AP51,3,-0.0090
RPL36AP52,2,-0.0089
OR7E66P,5,-0.0090
IL1RN,3,-0.0090
IL23R,3,-0.0090
OSBPL9P5,4,-0.0090
OSBPL9P1,5,-0.0090
AC124862.1,3,-0.0086
CALR4P,3,-0.0089
OSBPL9P2,2,-0.0090
OSBPL9P3,2,-0.0090
OSBPL9P4,4,-0.0090
WDR5B-DT,4,-0.0079
SCAANT1,4,-0.0074
IL1R1,3,-0.0019
AC078923.1,4,-0.0088
IL1R2,3,-0.0090
MIR133A1HG,3,-0.0088
AF201337.1,3,-0.0081
ARHGAP29-AS1,3,-0.0090
IL23A,3,-0.0078
NDUFS5P1,2,-0.0090
OR3B1P,2,-0.0090
NDUFS5P2,4,-0.0090
NDUFS5P3,3,-0.0089
AC018634.1,2,-0.0090
NDUFS5P4,3,-0.0090
NDUFS5P5,3,-0.0090
AC005011.1,2,-0.0090
NDUFS5P6,3,-0.0090
AC082651.1,3,-0.0089
SH2D2A,3,-0.0089
AC082651.2,3,-0.0088
AC082651.3,3,-0.0090
OR2AI1P,3,-0.0090
OTUD4P1,3,-0.0088
MT1JP,3,-0.0090
AC082651.4,3,-0.0089
OR7E59P,2,-0.0090
AC011676.1,3,-0.0079
AC011676.2,3,-0.0089
AC011676.3,3,-0.0086
AC011676.4,3,-0.0090
AC011676.5,3,-0.0089
SH2D1A,2,-0.0089
SH2D1B,3,-0.0090
AL451048.1,2,-0.0090
PSMA1P1,2,-0.0085
AC025277.1,3,-0.0090
